product_name,category,gender,gear,description,price,file_path
Alfa_Romeo_4C_Spider_2020,Sedan,woman,automatic,"Alfa Romeo_4C_Spider 2020 charakteryzuje się rodzinny samochód, idealny na miasto, komfortowa jazda.",5887,cars_split\Alfa_Romeo_4C_Spider_2020
Alfa_Romeo_4C_Spider_2020,SUV,man,automatic,"Alfa Romeo_4C_Spider 2020 charakteryzuje się przestronne wnętrze, rodzinny samochód, dobry stan.",4997,cars_split\Alfa_Romeo_4C_Spider_2020
Alfa_Romeo_4C_Spider_2020,Wagon,man,automatic,"Alfa Romeo_4C_Spider 2020 charakteryzuje się przestronne wnętrze, dobry stan, ekonomiczne spalanie.",4983,cars_split\Alfa_Romeo_4C_Spider_2020
Alfa_Romeo_4C_Spider_2020,SUV,man,manual,"Alfa Romeo_4C_Spider 2020 charakteryzuje się idealny na miasto, dynamiczny design, przestronne wnętrze.",6267,cars_split\Alfa_Romeo_4C_Spider_2020
Alfa_Romeo_4C_Spider_2020,Crossover,woman,automatic,"Alfa Romeo_4C_Spider 2020 charakteryzuje się idealny na miasto, dynamiczny design, dobry stan.",6300,cars_split\Alfa_Romeo_4C_Spider_2020
Alfa_Romeo_4C_Spider_2020,SUV,woman,manual,"Alfa Romeo_4C_Spider 2020 charakteryzuje się komfortowa jazda, rodzinny samochód, niska cena eksploatacji.",5803,cars_split\Alfa_Romeo_4C_Spider_2020
Alfa_Romeo_4C_Spider_2020,Coupe,man,automatic,"Alfa Romeo_4C_Spider 2020 charakteryzuje się rodzinny samochód, dynamiczny design, przestronne wnętrze.",4587,cars_split\Alfa_Romeo_4C_Spider_2020
Alfa_Romeo_4C_Spider_2020,Crossover,woman,manual,"Alfa Romeo_4C_Spider 2020 charakteryzuje się komfortowa jazda, rodzinny samochód, niska cena eksploatacji.",5749,cars_split\Alfa_Romeo_4C_Spider_2020
Alfa_Romeo_4C_Spider_2020,Coupe,woman,manual,"Alfa Romeo_4C_Spider 2020 charakteryzuje się ekonomiczne spalanie, dobry stan, komfortowa jazda.",6125,cars_split\Alfa_Romeo_4C_Spider_2020
Alfa_Romeo_4C_Spider_2020,Hatchback,man,automatic,"Alfa Romeo_4C_Spider 2020 charakteryzuje się niska cena eksploatacji, idealny na miasto, dynamiczny design.",5005,cars_split\Alfa_Romeo_4C_Spider_2020
Audi_A4_2011,Coupe,woman,manual,"Audi A4 2011 charakteryzuje się ekonomiczne spalanie, komfortowa jazda, idealny na miasto.",5110,cars_split\Audi_A4_2011
Audi_A4_2011,Coupe,woman,automatic,"Audi A4 2011 charakteryzuje się niska cena eksploatacji, rodzinny samochód, idealny na miasto.",5395,cars_split\Audi_A4_2011
Audi_A4_2011,SUV,man,automatic,"Audi A4 2011 charakteryzuje się dynamiczny design, ekonomiczne spalanie, niska cena eksploatacji.",5732,cars_split\Audi_A4_2011
Audi_A4_2011,SUV,woman,manual,"Audi A4 2011 charakteryzuje się komfortowa jazda, dobry stan, idealny na miasto.",4616,cars_split\Audi_A4_2011
Audi_A4_2011,Coupe,woman,manual,"Audi A4 2011 charakteryzuje się ekonomiczne spalanie, rodzinny samochód, komfortowa jazda.",4220,cars_split\Audi_A4_2011
Audi_A4_2011,SUV,woman,automatic,"Audi A4 2011 charakteryzuje się dobry stan, przestronne wnętrze, rodzinny samochód.",5359,cars_split\Audi_A4_2011
Audi_A4_2011,SUV,man,automatic,"Audi A4 2011 charakteryzuje się komfortowa jazda, idealny na miasto, rodzinny samochód.",4552,cars_split\Audi_A4_2011
Audi_A4_2011,Coupe,man,automatic,"Audi A4 2011 charakteryzuje się przestronne wnętrze, idealny na miasto, ekonomiczne spalanie.",5361,cars_split\Audi_A4_2011
Audi_A4_2011,Coupe,man,manual,"Audi A4 2011 charakteryzuje się idealny na miasto, komfortowa jazda, przestronne wnętrze.",5177,cars_split\Audi_A4_2011
Audi_A4_2011,Coupe,man,automatic,"Audi A4 2011 charakteryzuje się dynamiczny design, rodzinny samochód, ekonomiczne spalanie.",4842,cars_split\Audi_A4_2011
Audi_A5_2010,Coupe,woman,automatic,"Audi A5 2010 charakteryzuje się rodzinny samochód, dynamiczny design, dobry stan.",1000,cars_split\Audi_A5_2010
Audi_A5_2010,Crossover,man,automatic,"Audi A5 2010 charakteryzuje się idealny na miasto, komfortowa jazda, przestronne wnętrze.",1000,cars_split\Audi_A5_2010
Audi_A5_2010,Hatchback,woman,manual,"Audi A5 2010 charakteryzuje się dynamiczny design, idealny na miasto, niska cena eksploatacji.",1000,cars_split\Audi_A5_2010
Audi_A5_2010,Sedan,man,automatic,"Audi A5 2010 charakteryzuje się dynamiczny design, ekonomiczne spalanie, idealny na miasto.",1000,cars_split\Audi_A5_2010
Audi_A5_2010,Wagon,man,manual,"Audi A5 2010 charakteryzuje się dynamiczny design, rodzinny samochód, idealny na miasto.",1000,cars_split\Audi_A5_2010
Audi_A5_2010,Sedan,woman,manual,"Audi A5 2010 charakteryzuje się komfortowa jazda, przestronne wnętrze, dynamiczny design.",1301,cars_split\Audi_A5_2010
Audi_A5_2010,Hatchback,woman,automatic,"Audi A5 2010 charakteryzuje się dynamiczny design, komfortowa jazda, dobry stan.",1000,cars_split\Audi_A5_2010
Audi_A5_2010,SUV,man,automatic,"Audi A5 2010 charakteryzuje się komfortowa jazda, dobry stan, rodzinny samochód.",1000,cars_split\Audi_A5_2010
Audi_A5_2010,Sedan,woman,manual,"Audi A5 2010 charakteryzuje się rodzinny samochód, komfortowa jazda, dobry stan.",1000,cars_split\Audi_A5_2010
Audi_A5_2010,Wagon,man,manual,"Audi A5 2010 charakteryzuje się idealny na miasto, ekonomiczne spalanie, dobry stan.",1000,cars_split\Audi_A5_2010
Audi_A6_2011,Sedan,woman,manual,"Audi A6 2011 charakteryzuje się dobry stan, dynamiczny design, niska cena eksploatacji.",1181,cars_split\Audi_A6_2011
Audi_A6_2011,Hatchback,woman,manual,"Audi A6 2011 charakteryzuje się niska cena eksploatacji, przestronne wnętrze, ekonomiczne spalanie.",1000,cars_split\Audi_A6_2011
Audi_A6_2011,Hatchback,man,manual,"Audi A6 2011 charakteryzuje się przestronne wnętrze, niska cena eksploatacji, rodzinny samochód.",1000,cars_split\Audi_A6_2011
Audi_A6_2011,Hatchback,woman,manual,"Audi A6 2011 charakteryzuje się ekonomiczne spalanie, dobry stan, dynamiczny design.",1000,cars_split\Audi_A6_2011
Audi_A6_2011,SUV,woman,manual,"Audi A6 2011 charakteryzuje się niska cena eksploatacji, rodzinny samochód, komfortowa jazda.",1909,cars_split\Audi_A6_2011
Audi_A6_2011,SUV,man,manual,"Audi A6 2011 charakteryzuje się dynamiczny design, dobry stan, komfortowa jazda.",1000,cars_split\Audi_A6_2011
Audi_A6_2011,Hatchback,man,automatic,"Audi A6 2011 charakteryzuje się idealny na miasto, dobry stan, niska cena eksploatacji.",1209,cars_split\Audi_A6_2011
Audi_A6_2011,Convertible,man,manual,"Audi A6 2011 charakteryzuje się rodzinny samochód, dynamiczny design, niska cena eksploatacji.",1751,cars_split\Audi_A6_2011
Audi_A6_2011,SUV,woman,automatic,"Audi A6 2011 charakteryzuje się rodzinny samochód, idealny na miasto, ekonomiczne spalanie.",1550,cars_split\Audi_A6_2011
Audi_A6_2011,Hatchback,man,manual,"Audi A6 2011 charakteryzuje się rodzinny samochód, przestronne wnętrze, dynamiczny design.",1083,cars_split\Audi_A6_2011
Audi_A7_2012,SUV,man,automatic,"Audi A7 2012 charakteryzuje się ekonomiczne spalanie, rodzinny samochód, niska cena eksploatacji.",2332,cars_split\Audi_A7_2012
Audi_A7_2012,Wagon,woman,automatic,"Audi A7 2012 charakteryzuje się dynamiczny design, komfortowa jazda, rodzinny samochód.",1370,cars_split\Audi_A7_2012
Audi_A7_2012,Crossover,woman,manual,"Audi A7 2012 charakteryzuje się przestronne wnętrze, komfortowa jazda, dynamiczny design.",1000,cars_split\Audi_A7_2012
Audi_A7_2012,Sedan,man,automatic,"Audi A7 2012 charakteryzuje się rodzinny samochód, przestronne wnętrze, ekonomiczne spalanie.",1000,cars_split\Audi_A7_2012
Audi_A7_2012,Sedan,man,automatic,"Audi A7 2012 charakteryzuje się ekonomiczne spalanie, przestronne wnętrze, rodzinny samochód.",1319,cars_split\Audi_A7_2012
Audi_A7_2012,Wagon,woman,automatic,"Audi A7 2012 charakteryzuje się przestronne wnętrze, dynamiczny design, niska cena eksploatacji.",1765,cars_split\Audi_A7_2012
Audi_A7_2012,Crossover,woman,manual,"Audi A7 2012 charakteryzuje się przestronne wnętrze, komfortowa jazda, dynamiczny design.",2428,cars_split\Audi_A7_2012
Audi_A7_2012,Crossover,woman,manual,"Audi A7 2012 charakteryzuje się dobry stan, idealny na miasto, ekonomiczne spalanie.",1000,cars_split\Audi_A7_2012
Audi_A7_2012,Crossover,man,manual,"Audi A7 2012 charakteryzuje się dynamiczny design, przestronne wnętrze, komfortowa jazda.",1807,cars_split\Audi_A7_2012
Audi_A7_2012,Wagon,man,manual,"Audi A7 2012 charakteryzuje się komfortowa jazda, dynamiczny design, idealny na miasto.",1644,cars_split\Audi_A7_2012
Audi_A8_2011,Wagon,woman,automatic,"Audi A8 2011 charakteryzuje się ekonomiczne spalanie, dynamiczny design, idealny na miasto.",1000,cars_split\Audi_A8_2011
Audi_A8_2011,Coupe,man,manual,"Audi A8 2011 charakteryzuje się rodzinny samochód, dobry stan, niska cena eksploatacji.",1920,cars_split\Audi_A8_2011
Audi_A8_2011,Hatchback,woman,automatic,"Audi A8 2011 charakteryzuje się niska cena eksploatacji, przestronne wnętrze, ekonomiczne spalanie.",1784,cars_split\Audi_A8_2011
Audi_A8_2011,Wagon,man,manual,"Audi A8 2011 charakteryzuje się idealny na miasto, niska cena eksploatacji, rodzinny samochód.",1351,cars_split\Audi_A8_2011
Audi_A8_2011,Coupe,woman,automatic,"Audi A8 2011 charakteryzuje się komfortowa jazda, niska cena eksploatacji, przestronne wnętrze.",1731,cars_split\Audi_A8_2011
Audi_A8_2011,Convertible,woman,automatic,"Audi A8 2011 charakteryzuje się idealny na miasto, dobry stan, niska cena eksploatacji.",1348,cars_split\Audi_A8_2011
Audi_A8_2011,Sedan,woman,automatic,"Audi A8 2011 charakteryzuje się rodzinny samochód, niska cena eksploatacji, idealny na miasto.",1000,cars_split\Audi_A8_2011
Audi_A8_2011,Sedan,man,manual,"Audi A8 2011 charakteryzuje się ekonomiczne spalanie, przestronne wnętrze, niska cena eksploatacji.",1089,cars_split\Audi_A8_2011
Audi_A8_2011,SUV,man,manual,"Audi A8 2011 charakteryzuje się komfortowa jazda, idealny na miasto, dynamiczny design.",1000,cars_split\Audi_A8_2011
Audi_A8_2011,Coupe,man,automatic,"Audi A8 2011 charakteryzuje się przestronne wnętrze, dobry stan, dynamiczny design.",1000,cars_split\Audi_A8_2011
